,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
1021,short kurtis for women,24.0,41.25,30.6,32.5,28.25,34.8,48.75,55.75,58.8,62.75,85.0,86.6,75.5
1022,house of chikankari,3.0,2.5,2.6,1.25,1.0,33.6,10.25,8.0,7.4,5.25,6.0,5.2,4.5
1023,house of chikankari kurti,0.0,25.0,6.2,0.0,0.0,26.4,29.75,32.25,36.6,44.0,28.0,24.0,0.0
1024,chicken curry kurti,41.0,33.25,27.6,27.25,29.0,22.8,43.25,44.25,64.4,51.5,75.0,70.0,88.0
1025,lucknowi chikankari kurti set,0.0,0.0,0.0,6.0,0.0,7.6,9.75,0.0,0.0,21.0,45.5,47.2,18.0
1026,short chikankari kurti meesho,0.0,8.75,6.0,6.5,3.0,16.6,10.0,41.75,21.2,18.0,25.5,23.2,18.5
1027,chikankari short kurti meesho,0.0,8.75,6.0,6.5,3.0,16.6,10.0,41.75,21.2,18.0,25.5,23.2,18.5
1028,chicken curry,41.0,40.75,40.2,39.25,42.25,41.8,41.25,42.25,44.0,41.25,47.25,60.0,41.5
1029,chinkari kurti,0.0,40.5,13.2,6.25,0.0,21.8,6.75,30.0,42.4,32.0,17.5,44.2,47.5
1030,chikankari kurti set with dupatta,19.0,16.5,34.8,9.5,20.25,0.0,9.5,19.5,38.6,24.0,21.25,25.0,28.5
1031,chikankari kurti with mirror work,0.0,27.5,15.0,14.0,18.5,9.2,48.0,14.75,22.8,37.5,31.25,45.2,21.5
1032,chikankari sharara set,28.0,26.5,44.4,53.25,7.5,42.2,32.25,48.5,19.4,36.5,26.25,12.6,0.0
1033,chikankari kurta set with dupatta,47.0,18.25,27.0,24.5,19.0,20.8,50.25,30.75,40.6,26.0,32.5,36.0,38.5
1034,smart watch 500 price,72.0,59.75,82.4,55.5,68.75,48.2,66.5,66.0,61.6,64.0,67.25,71.4,82.0
1035,flipkart smart watch,54.0,77.75,67.8,47.75,47.25,47.2,50.5,49.0,47.0,46.75,47.0,48.4,50.5
1036,girls smart watch,78.0,86.25,92.0,79.0,65.0,68.4,77.5,67.5,74.2,69.25,73.0,79.0,87.0
1037,smart watch for girls,80.0,86.0,91.4,79.25,64.0,66.6,74.75,67.5,73.6,66.0,71.25,77.4,88.0
1038,smart watch for girls under 500,41.0,42.5,48.2,43.75,9.25,18.4,0.0,20.25,41.4,13.0,48.25,29.2,72.5
1039,smart watch amazon,50.0,75.0,64.6,48.0,46.25,46.0,47.25,44.75,42.6,43.75,42.75,47.0,50.5
1040,boat smart watch,56.0,76.0,77.0,55.0,55.25,64.6,67.75,66.25,64.8,60.75,65.0,63.2,64.0
1041,meesho smart watch under 500,26.0,5.25,31.2,7.75,0.0,56.0,66.0,33.25,7.6,17.25,28.0,53.8,39.0
1042,boat smart watch under 500,28.0,55.25,49.6,16.75,21.5,28.4,14.0,13.25,26.8,31.25,40.25,10.2,0.0
1043,apple smart watch,73.0,91.75,87.0,78.75,68.5,76.4,70.0,74.75,68.2,70.75,71.5,68.8,65.0
1044,meesho smart watch,60.0,78.5,65.8,48.5,42.5,47.8,73.75,60.75,57.8,59.0,63.5,65.8,75.0
1045,firebolt smart watch under 1000,23.0,49.25,32.4,6.0,15.0,7.4,45.0,7.5,14.2,9.25,33.0,8.8,0.0
1046,smart watch under 3000,62.0,73.25,72.4,50.5,51.75,54.6,47.25,43.75,38.6,46.25,43.0,37.6,52.0
1047,noise smart watch under 1000,23.0,30.75,51.4,40.5,36.0,50.4,42.0,56.5,31.8,58.5,72.5,66.4,46.5
1048,refurbished smart watch,11.0,29.75,38.4,33.75,29.25,24.0,24.0,27.0,16.2,15.25,24.75,8.8,25.5
1049,best smartwatch under 5000,48.0,71.25,46.8,38.25,39.75,41.6,39.75,36.5,35.0,34.5,30.25,29.6,26.0
1050,round dial smart watch,67.0,78.75,77.4,53.0,66.25,74.0,74.25,83.75,79.6,73.0,77.75,83.2,76.5
1051,स्मार्ट वॉच,63.0,74.25,77.4,76.5,76.25,65.2,89.25,86.25,79.4,82.25,76.75,76.2,94.0
1052,t500 smart watch under 500,0.0,30.25,19.8,44.5,35.75,18.4,0.0,0.0,7.8,31.25,25.0,8.8,0.0
1053,firebolt,63.0,81.5,76.6,56.75,53.0,59.2,67.75,68.5,69.6,70.25,76.75,75.0,79.5
1054,firebolt watch,65.0,83.25,82.4,63.5,54.75,53.6,55.75,57.75,62.4,61.75,69.0,71.4,74.5
1055,fire boltt smart watch,51.0,69.25,67.4,57.5,57.0,77.4,77.25,82.75,80.6,85.75,87.25,84.2,89.5
1056,smart watch girls,78.0,86.25,92.0,79.0,65.0,68.4,77.5,67.5,74.2,69.25,73.0,79.0,87.0
1057,ultra smart watch,6.0,7.75,10.6,12.75,15.25,21.0,25.25,26.75,35.4,41.75,59.75,73.8,92.0
1058,smart watch men,75.0,89.25,84.8,75.0,69.75,82.0,85.25,72.25,79.2,79.25,85.75,87.8,91.0
1059,smart watch samsung,70.0,80.25,72.6,67.0,62.25,62.0,61.25,60.0,56.2,57.0,61.0,62.2,67.0
1060,beatxp smart watch,0.0,0.0,0.0,1.5,15.25,14.2,39.0,21.5,37.4,32.0,63.75,74.2,85.0
