,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
1116,gift under 500 for boy,19.0,12.75,21.0,26.5,28.0,32.4,55.25,17.0,35.2,20.25,38.0,44.6,45.5
1117,gift for women under 500,0.0,8.75,23.6,10.75,59.25,6.2,11.5,20.5,10.2,0.0,9.25,23.8,83.0
1118,gift items under 500,0.0,6.0,25.4,23.0,28.5,9.8,30.0,31.0,18.6,12.5,14.5,13.6,24.5
1119,gift for best friend,77.0,70.0,67.4,79.75,93.5,81.8,80.5,73.5,72.0,81.0,80.75,86.0,86.0
1120,gift for boyfriend,39.0,37.0,38.8,39.5,53.75,58.2,63.75,34.5,33.8,33.75,40.5,43.4,41.5
1121,gift for sister under 500,0.0,10.0,4.4,0.0,0.0,3.2,8.5,0.0,2.2,7.5,5.0,8.8,69.0
1122,gift for girlfriend,46.0,44.75,48.8,48.0,67.5,63.0,71.0,42.25,41.4,39.25,45.5,53.6,53.5
1123,wedding gift under 500,0.0,9.75,21.4,35.0,26.5,38.0,38.5,11.5,25.4,33.5,11.25,33.6,0.0
1124,birthday gift for girl,79.0,89.25,73.0,79.5,80.0,74.8,74.0,72.75,76.2,74.0,78.75,91.0,84.5
1125,best gift for boys under 500,0.0,50.0,14.4,21.25,19.0,25.6,15.25,7.0,5.4,6.75,15.25,21.8,0.0
1126,diwali gift under 500,0.0,13.25,39.8,7.75,5.75,0.0,2.75,0.0,8.4,2.5,2.75,6.2,0.0
1127,best gift for boys,71.0,72.75,59.8,72.0,86.25,68.4,66.5,60.75,62.6,51.5,72.5,74.4,69.5
1128,bella vita perfume,25.0,34.5,31.6,36.5,45.5,48.6,60.0,47.5,52.8,51.75,63.75,76.8,99.5
1129,wallet for men,78.0,75.25,80.4,77.25,89.25,83.6,80.25,74.25,73.6,72.25,80.25,91.4,94.5
1130,diwali gift hampers,3.0,7.5,41.0,0.25,1.25,0.2,0.5,0.25,0.0,0.5,2.0,0.2,2.0
1131,diwali gift hampers under 500,39.0,15.75,20.0,0.0,24.25,0.0,0.0,10.25,0.0,0.0,0.0,0.0,0.0
1132,teachers day gift,100.0,26.25,0.6,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.75,1.2,5.0
1133,bracelet for girls,59.0,61.5,65.0,63.25,58.75,62.8,59.25,53.25,54.2,56.25,57.0,66.0,89.0
1134,gift for teachers day,100.0,25.25,0.6,0.75,0.25,0.4,0.5,0.5,0.2,0.0,0.25,1.2,5.0
1135,gift for diwali under 500,0.0,13.75,38.2,14.75,0.0,11.4,0.0,16.75,7.8,7.75,0.0,7.4,0.0
1136,best gift for mom birthday,0.0,39.75,41.8,32.5,41.5,26.4,32.75,34.0,45.2,35.5,60.0,32.2,39.5
1137,birthday gift for male friend,72.0,61.5,47.6,69.5,73.5,58.2,70.25,78.5,63.4,60.75,84.25,74.4,62.0
1138,secret santa gift ideas,0.0,0.0,0.6,2.0,48.25,2.0,1.75,0.75,0.0,0.25,0.5,0.2,0.0
1139,best gift for boyfriend under 500,0.0,8.5,16.0,0.0,0.0,34.2,20.75,24.5,21.8,17.5,8.0,11.8,68.5
1140,earbuds boat,56.0,75.25,61.6,53.5,59.25,68.4,71.75,71.25,66.0,68.5,76.25,79.0,71.5
1141,wireless earbuds,61.0,79.75,66.2,61.75,65.25,65.0,61.5,61.75,66.0,70.0,72.25,78.6,77.5
1142,oneplus earbuds,68.0,81.0,70.0,65.75,71.25,82.6,87.5,80.25,83.0,82.5,93.5,94.8,88.5
1143,tws,67.0,82.5,89.2,76.5,78.25,79.0,79.5,70.5,65.2,68.75,76.75,81.6,75.5
1144,realme earbuds,65.0,81.0,67.2,59.75,59.25,64.2,59.0,60.5,51.8,54.25,72.5,58.2,59.0
1145,jbl earbuds,62.0,70.5,61.2,58.75,56.0,74.2,69.75,64.75,64.6,69.75,81.5,83.8,81.0
1146,earbuds samsung,60.0,83.5,67.0,58.5,54.5,62.8,68.75,67.0,57.2,62.5,73.0,72.0,79.0
1147,skullcandy earbuds,61.0,56.0,81.0,79.25,89.75,77.8,80.5,64.5,67.4,82.75,75.25,84.6,70.0
1148,airdopes,45.0,69.25,62.8,51.25,53.75,62.4,68.75,59.75,48.2,48.5,59.0,63.8,52.5
1149,boult earbuds,40.0,63.0,51.0,44.0,48.75,62.6,66.5,73.5,67.4,76.25,86.25,85.8,95.0
1150,boat nirvana ion earbuds,0.0,5.5,2.8,0.0,0.0,1.8,1.5,21.75,88.0,72.0,68.75,43.0,25.0
1151,best earbuds 2023,0.0,2.0,3.0,3.25,3.5,23.4,33.25,34.5,45.0,54.25,80.0,96.0,94.0
1152,m19 earbuds,0.0,0.0,0.0,14.0,44.75,40.2,37.5,51.25,53.2,67.5,84.0,81.8,95.0
1153,bose qc earbuds 2,0.0,13.25,30.0,13.0,8.0,28.4,10.5,18.5,4.6,28.25,25.5,39.2,33.5
1154,m90 pro earbuds,0.0,0.0,9.6,14.5,7.75,24.8,30.25,56.0,30.8,23.25,14.0,24.2,20.5
1155,gpods earbuds,0.0,3.0,7.0,9.25,4.25,3.6,44.5,16.75,6.4,0.0,2.75,6.2,3.0
1156,boat nirvana earbuds,0.0,0.0,2.0,1.0,0.0,2.4,5.0,44.25,73.4,62.5,57.25,36.0,20.5
1157,m10 earbuds,28.0,44.5,41.0,47.25,60.75,59.2,56.5,54.25,42.6,65.0,87.0,63.2,58.0
1158,bose quietcomfort earbuds 2,12.0,62.75,30.4,37.5,52.25,39.6,69.25,50.0,40.0,37.5,24.5,35.0,40.5
1159,nokia phone with earbuds,0.0,23.5,63.4,59.5,9.5,39.4,11.75,21.5,14.0,6.75,22.5,10.2,31.5
1160,skullcandy dime true wireless earbuds review,0.0,32.5,6.6,31.75,0.0,8.8,23.5,41.0,35.4,51.25,24.75,38.6,17.5
1161,skullcandy dime 2,41.0,48.25,49.0,42.0,60.75,50.4,40.25,54.25,60.0,82.5,67.0,77.4,56.5
1162,dime true wireless earbuds,12.0,15.0,33.6,22.75,33.75,33.4,27.25,67.25,77.0,84.0,69.5,69.6,54.5
1163,m10 tws wireless earbuds,41.0,43.5,34.2,38.25,58.5,53.0,32.75,19.25,22.2,20.25,51.0,20.8,17.0
1164,acefast earbuds,0.0,10.25,38.4,55.0,60.5,13.6,40.5,23.25,21.6,25.5,29.5,48.6,0.0
1165,skullcandy dime true wireless earbuds,6.0,18.0,24.2,23.5,18.75,19.4,19.25,61.25,60.2,80.25,64.0,67.6,46.0
1166,boat earbuds 161,0.0,40.5,24.8,17.25,21.75,29.6,20.5,18.75,32.0,31.5,38.25,53.0,51.0
1167,oneplus nord ce earbuds,17.0,34.0,30.2,17.0,27.5,27.4,29.5,31.25,45.0,33.0,35.5,29.2,46.0
1168,skullcandy dime tws earbuds,46.0,33.25,81.6,62.75,70.0,61.4,67.5,17.75,15.6,11.75,8.0,9.4,8.5
1169,skullcandy dime tws,21.0,21.75,85.6,66.25,65.0,48.8,53.25,29.0,18.8,17.5,10.25,7.2,5.0
